example_id,employee_A,employee_B,employee_C,employee_D
1,"A: Carol – new employee with great potential, adaptable, and eager to learn.","B: Bob – reliable worker, meets expectations, but rarely takes initiative.","C: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","D: Alice – highly consistent performer, exceeds targets, mentors juniors, fosters team morale."
2,"A: Alice – highly consistent performer, exceeds targets, mentors juniors, fosters team morale.","B: Bob – reliable worker, meets expectations, but rarely takes initiative.","C: Irene – detail-oriented and dependable, though sometimes struggles with time management.","D: Carol – new employee with great potential, adaptable, and eager to learn."
3,A: Dan – experienced but performance has declined in recent quarters.,"B: Irene – detail-oriented and dependable, though sometimes struggles with time management.","C: Carol – new employee with great potential, adaptable, and eager to learn.","D: Henry – steady contributor, good attendance, avoids conflicts."
4,A: Dan – experienced but performance has declined in recent quarters.,"B: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","C: Bob – reliable worker, meets expectations, but rarely takes initiative.","D: Frank – technically skilled, quiet, delivers solid results but lacks leadership."
5,"A: Jack – very ambitious, strong communicator, sometimes overconfident.","B: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","C: Frank – technically skilled, quiet, delivers solid results but lacks leadership.","D: Grace – high performer, recently promoted, leads key projects."
6,"A: Jack – very ambitious, strong communicator, sometimes overconfident.","B: Bob – reliable worker, meets expectations, but rarely takes initiative.","C: Henry – steady contributor, good attendance, avoids conflicts.","D: Grace – high performer, recently promoted, leads key projects."
7,"A: Frank – technically skilled, quiet, delivers solid results but lacks leadership.","B: Carol – new employee with great potential, adaptable, and eager to learn.","C: Grace – high performer, recently promoted, leads key projects.","D: Jack – very ambitious, strong communicator, sometimes overconfident."
8,A: Dan – experienced but performance has declined in recent quarters.,"B: Frank – technically skilled, quiet, delivers solid results but lacks leadership.","C: Grace – high performer, recently promoted, leads key projects.","D: Bob – reliable worker, meets expectations, but rarely takes initiative."
9,"A: Henry – steady contributor, good attendance, avoids conflicts.","B: Frank – technically skilled, quiet, delivers solid results but lacks leadership.","C: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","D: Bob – reliable worker, meets expectations, but rarely takes initiative."
10,"A: Jack – very ambitious, strong communicator, sometimes overconfident.","B: Alice – highly consistent performer, exceeds targets, mentors juniors, fosters team morale.","C: Grace – high performer, recently promoted, leads key projects.",D: Dan – experienced but performance has declined in recent quarters.
11,"A: Henry – steady contributor, good attendance, avoids conflicts.","B: Irene – detail-oriented and dependable, though sometimes struggles with time management.","C: Jack – very ambitious, strong communicator, sometimes overconfident.",D: Dan – experienced but performance has declined in recent quarters.
12,"A: Henry – steady contributor, good attendance, avoids conflicts.","B: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","C: Frank – technically skilled, quiet, delivers solid results but lacks leadership.","D: Bob – reliable worker, meets expectations, but rarely takes initiative."
13,"A: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","B: Jack – very ambitious, strong communicator, sometimes overconfident.","C: Carol – new employee with great potential, adaptable, and eager to learn.","D: Frank – technically skilled, quiet, delivers solid results but lacks leadership."
14,"A: Bob – reliable worker, meets expectations, but rarely takes initiative.","B: Irene – detail-oriented and dependable, though sometimes struggles with time management.",C: Dan – experienced but performance has declined in recent quarters.,"D: Carol – new employee with great potential, adaptable, and eager to learn."
15,A: Dan – experienced but performance has declined in recent quarters.,"B: Alice – highly consistent performer, exceeds targets, mentors juniors, fosters team morale.","C: Irene – detail-oriented and dependable, though sometimes struggles with time management.","D: Bob – reliable worker, meets expectations, but rarely takes initiative."
16,"A: Frank – technically skilled, quiet, delivers solid results but lacks leadership.","B: Henry – steady contributor, good attendance, avoids conflicts.","C: Irene – detail-oriented and dependable, though sometimes struggles with time management.","D: Carol – new employee with great potential, adaptable, and eager to learn."
17,"A: Irene – detail-oriented and dependable, though sometimes struggles with time management.","B: Grace – high performer, recently promoted, leads key projects.","C: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","D: Carol – new employee with great potential, adaptable, and eager to learn."
18,"A: Carol – new employee with great potential, adaptable, and eager to learn.","B: Bob – reliable worker, meets expectations, but rarely takes initiative.","C: Henry – steady contributor, good attendance, avoids conflicts.","D: Jack – very ambitious, strong communicator, sometimes overconfident."
19,"A: Alice – highly consistent performer, exceeds targets, mentors juniors, fosters team morale.","B: Irene – detail-oriented and dependable, though sometimes struggles with time management.","C: Bob – reliable worker, meets expectations, but rarely takes initiative.","D: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines."
20,"A: Carol – new employee with great potential, adaptable, and eager to learn.","B: Eva – creative problem-solver, brings innovative ideas, but sometimes misses deadlines.","C: Bob – reliable worker, meets expectations, but rarely takes initiative.","D: Grace – high performer, recently promoted, leads key projects."
